dteday,season,hr,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
2011-01-03,Winter,7,1,1,-1,-6,50,12,1,63
2011-01-03,Winter,8,1,1,-1,-8,50,19,1,153
2011-01-03,Winter,9,1,1,0,-6,43,26,7,81
2011-01-03,Winter,10,1,1,0,-4,43,16,11,33
2011-01-03,Winter,11,1,1,1,-4,40,22,10,41
2011-01-03,Winter,12,1,1,2,-2,35,19,13,48
2011-01-03,Winter,13,1,1,3,-2,35,19,8,53
2011-01-03,Winter,14,1,1,4,0,30,19,11,66
2011-01-03,Winter,15,1,1,4,0,30,16,14,58
2011-01-03,Winter,16,1,1,4,0,30,16,9,67
2011-01-03,Winter,17,1,1,3,0,30,15,11,146
2011-01-03,Winter,18,1,1,3,1,32,7,9,148
2011-01-03,Winter,19,1,1,1,1,47,0,8,102
2011-01-03,Winter,20,1,1,1,0,47,7,3,49
2011-01-03,Winter,21,1,1,0,-2,64,8,3,49
2011-01-03,Winter,22,1,1,-1,-6,69,8,0,20
2011-01-03,Winter,23,1,1,0,-2,55,7,1,11
2011-01-04,Winter,0,1,1,0,-4,55,7,0,5
2011-01-04,Winter,1,1,1,0,-4,59,7,0,2
2011-01-04,Winter,2,1,1,-1,-6,63,8,0,1
2011-01-04,Winter,4,1,1,-1,-4,63,6,0,2
2011-01-04,Winter,5,1,1,-2,-6,68,7,0,4
2011-01-04,Winter,6,1,1,-2,-6,74,7,0,36
2011-01-04,Winter,7,1,1,-2,-6,74,8,2,92
2011-01-04,Winter,8,1,1,-1,-6,69,11,2,177
2011-01-04,Winter,9,1,1,0,-6,64,15,2,98
2011-01-04,Winter,10,1,2,0,-6,69,22,5,37
2011-01-04,Winter,11,1,1,2,-2,51,19,7,50
2011-01-04,Winter,12,1,1,2,0,51,11,12,66
2011-01-04,Winter,13,1,1,3,0,56,12,18,79
2011-01-04,Winter,14,1,1,4,1,52,15,9,54
2011-01-04,Winter,15,1,1,5,1,52,16,17,48
2011-01-04,Winter,16,1,1,6,3,49,16,15,68
2011-01-04,Winter,17,1,1,5,1,48,15,10,202
2011-01-04,Winter,18,1,1,4,1,48,12,3,179
2011-01-04,Winter,19,1,1,3,1,48,7,2,110
2011-01-04,Winter,20,1,1,3,1,48,7,1,53
2011-01-04,Winter,21,1,1,2,1,64,0,0,48
2011-01-04,Winter,22,1,1,2,1,64,6,1,34
2011-01-04,Winter,23,1,1,1,0,69,6,2,9
2011-01-05,Winter,0,1,1,1,1,64,0,0,6
2011-01-05,Winter,1,1,1,0,-2,74,6,0,6
2011-01-05,Winter,2,1,1,0,-2,74,6,0,2
2011-01-05,Winter,4,1,1,3,0,48,15,0,2
2011-01-05,Winter,5,1,1,2,0,47,11,0,3
2011-01-05,Winter,6,1,1,1,-2,47,15,0,33
2011-01-05,Winter,7,1,1,0,-4,43,12,1,87
2011-01-05,Winter,8,1,1,1,-4,40,19,3,192
2011-01-05,Winter,9,1,1,2,-2,37,22,6,109
2011-01-05,Winter,10,1,1,2,-2,37,22,4,53
2011-01-05,Winter,11,1,1,4,0,33,22,12,34
2011-01-05,Winter,12,1,1,4,0,33,22,5,74
2011-01-05,Winter,13,1,1,5,1,30,19,6,65
2011-01-05,Winter,14,1,1,6,3,28,12,10,52
2011-01-05,Winter,15,1,1,6,3,28,12,7,55
2011-01-05,Winter,16,1,1,6,5,28,6,4,85
2011-01-05,Winter,17,1,1,3,0,38,12,4,186
2011-01-05,Winter,18,1,1,3,0,38,8,3,166
2011-01-05,Winter,19,1,1,3,1,38,7,5,127
2011-01-05,Winter,20,1,1,2,0,47,11,7,82
2011-01-05,Winter,21,1,1,1,-2,51,12,3,40
2011-01-05,Winter,22,1,1,0,-2,55,8,1,41
2011-01-05,Winter,23,1,1,1,1,47,0,1,18
2011-01-06,Winter,0,1,1,0,0,55,0,0,11
2011-01-06,Winter,1,1,1,0,0,64,0,0,4
2011-01-06,Winter,2,1,1,0,0,64,0,0,2
2011-01-06,Winter,4,1,2,0,-2,64,6,0,1
2011-01-06,Winter,5,1,2,-1,-4,69,6,0,4
2011-01-06,Winter,6,1,2,-1,-4,63,7,0,36
2011-01-06,Winter,7,1,2,0,0,59,0,0,95
2011-01-06,Winter,8,1,1,0,0,59,0,3,216
2011-01-06,Winter,9,1,2,0,0,51,0,6,116
2011-01-06,Winter,10,1,1,1,1,47,0,3,42
2011-01-06,Winter,11,1,1,2,1,44,6,2,57
2011-01-06,Winter,12,1,1,4,3,35,0,6,78
2011-01-06,Winter,13,1,1,4,1,35,7,12,55
2011-01-06,Winter,14,1,1,5,1,36,11,11,59
2011-01-06,Winter,15,1,1,5,1,36,0,8,54
2011-01-06,Winter,16,1,1,4,1,38,11,12,74
2011-01-06,Winter,17,1,1,2,0,51,11,9,163
2011-01-06,Winter,18,1,1,2,0,51,8,5,158
2011-01-06,Winter,19,1,1,2,1,55,6,3,109
2011-01-06,Winter,20,1,1,1,-2,51,11,3,66
2011-01-06,Winter,21,1,2,2,-2,55,15,0,48
2011-01-06,Winter,22,1,2,2,-2,51,19,1,51
2011-01-06,Winter,23,1,2,1,-2,59,12,4,19
2011-01-07,Winter,0,1,2,1,-2,64,12,4,13
2011-01-07,Winter,1,1,2,1,-2,69,15,2,5
2011-01-07,Winter,2,1,2,1,-2,69,15,0,1
2011-01-07,Winter,4,1,2,1,-2,69,8,0,1
2011-01-07,Winter,5,1,3,2,1,55,0,0,5
2011-01-07,Winter,6,1,2,1,1,69,0,8,26
2011-01-07,Winter,7,1,1,1,-2,69,8,8,76
2011-01-07,Winter,8,1,1,1,-2,51,16,20,190
2011-01-07,Winter,9,1,1,1,-4,47,19,9,125
2011-01-07,Winter,10,1,1,2,-2,37,22,16,47
2011-01-07,Winter,11,1,2,1,-2,40,15,19,48
2011-01-07,Winter,12,1,2,1,-2,37,16,9,50
2011-01-07,Winter,13,1,2,1,-4,37,19,9,64
2011-01-07,Winter,14,1,2,1,-2,40,16,7,43
2011-01-07,Winter,15,1,2,1,-2,37,11,9,63
2011-01-07,Winter,16,1,2,1,-2,37,11,5,82
2011-01-07,Winter,17,1,2,1,1,37,0,9,178
2011-01-07,Winter,18,1,1,1,0,40,6,7,116
2011-01-07,Winter,19,1,1,0,-2,55,6,3,92
2011-01-07,Winter,20,1,1,0,-2,47,7,1,50
2011-01-07,Winter,21,1,1,0,-2,47,8,0,39
2011-01-07,Winter,22,1,2,0,-2,43,11,2,34
2011-01-07,Winter,23,1,2,0,-2,51,11,1,14
2011-01-08,Winter,0,0,2,0,-2,51,11,1,24
2011-01-08,Winter,1,0,2,0,-2,55,6,1,15
2011-01-08,Winter,2,0,2,0,0,55,0,3,13
2011-01-08,Winter,3,0,3,0,-2,55,11,0,7
2011-01-08,Winter,4,0,3,0,-2,55,11,0,1
2011-01-08,Winter,5,0,2,0,-4,74,11,0,5
2011-01-08,Winter,6,0,2,0,-4,74,11,0,2
2011-01-08,Winter,7,0,2,0,-4,74,7,1,8
2011-01-08,Winter,8,0,3,0,-4,93,7,0,15
2011-01-08,Winter,9,0,3,0,-4,93,7,0,20
2011-01-08,Winter,10,0,2,0,-2,80,11,5,56
2011-01-08,Winter,11,0,2,1,-4,69,26,2,60
2011-01-08,Winter,12,0,2,1,-4,59,23,8,90
2011-01-08,Winter,13,0,1,1,-4,44,22,7,95
2011-01-08,Winter,14,0,1,1,-4,32,32,12,83
2011-01-08,Winter,15,0,1,1,-4,32,30,5,69
2011-01-08,Winter,16,0,1,0,-6,28,30,8,68
2011-01-08,Winter,17,0,1,0,-8,37,36,5,64
2011-01-08,Winter,18,0,1,-1,-8,39,19,3,52
2011-01-08,Winter,19,0,1,-1,-8,36,16,4,26
2011-01-08,Winter,20,0,1,-2,-8,36,16,0,28
2011-01-08,Winter,21,0,1,-2,-8,39,23,2,35
2011-01-08,Winter,22,0,1,-2,-8,36,26,1,33
2011-01-08,Winter,23,0,1,-3,-12,39,30,0,22
2011-01-09,Winter,0,0,1,-3,-10,42,26,1,24
2011-01-09,Winter,1,0,1,-3,-12,42,31,0,12
2011-01-09,Winter,2,0,1,-3,-12,46,31,0,11
2011-01-09,Winter,3,0,1,-3,-10,46,27,0,4
2011-01-09,Winter,4,0,1,-4,-10,53,12,0,1
2011-01-09,Winter,5,0,1,-4,-10,53,12,0,1
2011-01-09,Winter,6,0,1,-3,-10,49,19,0,1
2011-01-09,Winter,7,0,1,-4,-10,53,12,1,5
2011-01-09,Winter,8,0,1,-3,-10,49,19,0,10
2011-01-09,Winter,9,0,1,-2,-10,46,35,0,19
2011-01-09,Winter,10,0,1,-1,-8,43,26,0,49
2011-01-09,Winter,11,0,1,0,-8,40,35,2,47
2011-01-09,Winter,12,0,1,0,-6,37,30,4,79
2011-01-09,Winter,13,0,1,1,-4,34,30,6,69
2011-01-09,Winter,14,0,1,2,-4,32,31,8,64
2011-01-09,Winter,15,0,1,2,-2,35,23,5,77
2011-01-09,Winter,16,0,1,1,-4,34,30,13,79
2011-01-09,Winter,17,0,1,0,-6,37,26,3,59
2011-01-09,Winter,18,0,1,0,-6,40,22,4,44
2011-01-09,Winter,19,0,1,0,-6,43,22,1,40
2011-01-09,Winter,20,0,1,-1,-8,46,16,0,38
2011-01-09,Winter,21,0,1,-1,-8,46,27,1,19
2011-01-09,Winter,22,0,1,-1,-8,46,19,5,10
2011-01-09,Winter,23,0,1,-2,-6,50,12,0,6
2011-01-10,Winter,0,1,1,-2,-8,50,19,2,3
2011-01-10,Winter,1,1,1,-2,-8,50,19,1,0
2011-01-10,Winter,2,1,1,-2,-8,50,15,0,3
2011-01-10,Winter,3,1,1,-2,-8,50,15,0,1
2011-01-10,Winter,4,1,1,-3,-8,54,8,1,2
2011-01-10,Winter,5,1,1,-3,-8,54,16,0,3
2011-01-10,Winter,6,1,1,-2,-8,50,19,0,31
2011-01-10,Winter,7,1,1,-2,-8,50,15,2,75
2011-01-10,Winter,8,1,2,-2,-8,50,19,4,184
2011-01-10,Winter,9,1,2,-1,-8,50,16,2,92
2011-01-10,Winter,10,1,2,-1,-8,50,19,0,31
2011-01-10,Winter,11,1,2,0,-6,47,19,2,28
2011-01-10,Winter,12,1,2,1,-4,40,19,5,47
2011-01-10,Winter,13,1,2,1,-4,40,19,4,50
2011-01-10,Winter,14,1,2,1,-2,40,15,0,47
2011-01-10,Winter,15,1,2,1,-2,40,15,2,43
2011-01-10,Winter,16,1,1,1,-2,40,8,4,70
2011-01-10,Winter,17,1,1,1,0,40,7,4,174
2011-01-10,Winter,18,1,1,1,-2,40,15,1,154
2011-01-10,Winter,19,1,1,0,-4,47,11,3,92
2011-01-10,Winter,20,1,1,0,-4,50,11,1,73
2011-01-10,Winter,21,1,1,-1,-6,59,12,1,37
2011-01-10,Winter,22,1,1,-1,-6,59,11,2,22
2011-01-10,Winter,23,1,1,-1,-6,59,11,0,18
2011-01-11,Winter,0,1,1,-1,-4,59,7,2,10
2011-01-11,Winter,1,1,1,-1,-6,59,11,0,3
2011-01-11,Winter,2,1,2,0,-6,55,12,0,3
2011-01-11,Winter,5,1,2,0,-4,55,8,0,6
2011-01-11,Winter,6,1,2,0,-4,55,8,0,27
2011-01-11,Winter,7,1,2,0,0,55,0,2,97
2011-01-11,Winter,8,1,2,0,-2,51,6,3,214
2011-01-11,Winter,9,1,2,0,-2,51,11,3,127
2011-01-11,Winter,10,1,2,1,-2,51,11,3,51
2011-01-11,Winter,11,1,2,1,-2,47,8,4,31
2011-01-11,Winter,12,1,2,1,0,51,7,2,55
2011-01-11,Winter,13,1,2,1,0,59,6,6,46
2011-01-11,Winter,14,1,2,1,0,59,6,3,60
2011-01-11,Winter,15,1,2,0,-2,80,6,2,45
2011-01-11,Winter,16,1,2,0,-6,86,15,4,72
2011-01-11,Winter,17,1,2,0,-6,86,15,6,130
2011-01-11,Winter,18,1,3,0,-4,93,7,1,94
2011-01-11,Winter,19,1,3,0,0,93,0,0,51
2011-01-11,Winter,20,1,3,0,-6,93,12,0,32
2011-01-11,Winter,21,1,3,0,-2,86,6,0,20
2011-01-11,Winter,22,1,3,0,-4,93,7,1,28
2011-01-11,Winter,23,1,3,0,-2,93,6,1,18
2011-01-12,Winter,0,1,2,0,-2,86,6,0,7
2011-01-12,Winter,1,1,2,0,-4,86,7,0,6
2011-01-12,Winter,2,1,1,-1,-6,86,8,0,1
2011-01-12,Winter,5,1,1,-1,-6,86,11,0,5
2011-01-12,Winter,6,1,1,-2,-6,93,8,0,16
2011-01-12,Winter,7,1,1,-1,-6,69,8,0,54
2011-01-12,Winter,8,1,1,0,-4,59,11,3,125
2011-01-12,Winter,9,1,1,0,-6,59,22,3,78
2011-01-12,Winter,10,1,1,0,-4,55,15,0,39
2011-01-12,Winter,11,1,1,1,-4,51,26,3,32
2011-01-12,Winter,12,1,1,1,-6,47,39,3,52
2011-01-12,Winter,13,1,1,2,-2,44,23,0,49
2011-01-12,Winter,14,1,1,1,-4,47,22,0,44
2011-01-12,Winter,15,1,1,1,-4,47,27,1,48
2011-01-12,Winter,16,1,1,2,-2,44,22,5,63
2011-01-12,Winter,17,1,1,1,-4,47,23,0,139
2011-01-12,Winter,18,1,1,1,-6,47,35,2,135
2011-01-12,Winter,19,1,1,0,-6,47,27,1,82
2011-01-12,Winter,20,1,1,0,-6,50,22,2,54
2011-01-12,Winter,21,1,1,0,-6,55,22,0,57
2011-01-12,Winter,22,1,1,0,-8,55,30,1,32
2011-01-12,Winter,23,1,1,-1,-8,59,27,1,19
2011-01-13,Winter,0,1,1,-1,-8,59,19,1,6
2011-01-13,Winter,1,1,1,-1,-8,50,19,0,2
2011-01-13,Winter,2,1,1,-1,-8,50,23,0,2
2011-01-13,Winter,3,1,1,-1,-8,50,22,0,3
2011-01-13,Winter,4,1,1,-1,-8,50,16,0,4
2011-01-13,Winter,5,1,1,-1,-8,50,19,0,3
2011-01-13,Winter,6,1,1,-2,-6,54,8,0,28
2011-01-13,Winter,7,1,1,-2,-6,54,8,0,72
2011-01-13,Winter,8,1,1,-1,-6,50,12,5,197
2011-01-13,Winter,9,1,1,-1,-8,50,22,2,137
2011-01-13,Winter,10,1,2,0,-6,50,23,2,36
2011-01-13,Winter,11,1,2,1,-4,44,30,4,33
2011-01-13,Winter,12,1,1,1,-4,44,27,3,49
2011-01-13,Winter,13,1,1,2,-2,41,30,2,81
2011-01-13,Winter,14,1,1,2,-2,41,26,3,39
2011-01-13,Winter,15,1,1,3,-2,38,19,5,55
2011-01-13,Winter,16,1,1,3,-2,38,23,2,76
2011-01-13,Winter,17,1,1,1,-4,40,19,4,158
2011-01-13,Winter,18,1,1,1,-4,40,22,3,141
2011-01-13,Winter,19,1,1,0,-6,47,16,1,98
2011-01-13,Winter,20,1,1,0,-6,47,15,0,64
2011-01-13,Winter,21,1,1,-1,-8,46,19,0,40
2011-01-13,Winter,22,1,1,-1,-8,46,22,0,30
2011-01-13,Winter,23,1,1,-2,-6,50,12,1,14
2011-01-14,Winter,0,1,1,-2,-6,50,12,0,14
2011-01-14,Winter,1,1,1,-3,-8,54,11,0,5
2011-01-14,Winter,2,1,1,-3,-8,54,8,0,1
2011-01-14,Winter,3,1,1,-3,-6,54,7,0,1
2011-01-14,Winter,5,1,1,-3,-6,54,6,0,8
2011-01-14,Winter,6,1,1,-3,-4,54,0,0,17
2011-01-14,Winter,7,1,1,-3,-8,74,11,0,70
2011-01-14,Winter,8,1,1,-2,-4,68,0,2,156
2011-01-14,Winter,9,1,1,-1,-6,69,8,0,117
2011-01-14,Winter,10,1,1,0,-4,55,12,4,40
2011-01-14,Winter,11,1,1,0,-4,51,19,6,47
2011-01-14,Winter,12,1,1,1,-2,44,16,2,59
2011-01-14,Winter,13,1,1,2,-2,37,26,4,73
2011-01-14,Winter,14,1,1,2,-2,41,19,5,59
2011-01-14,Winter,15,1,1,3,0,38,11,9,59
2011-01-14,Winter,16,1,1,2,0,41,7,3,87
2011-01-14,Winter,17,1,1,2,0,41,11,4,155
2011-01-14,Winter,18,1,1,1,1,47,0,5,134
2011-01-14,Winter,19,1,1,0,-2,59,6,3,89
2011-01-14,Winter,20,1,1,0,0,59,0,0,68
2011-01-14,Winter,21,1,1,0,0,69,0,4,48
2011-01-14,Winter,22,1,2,0,0,69,0,2,34
2011-01-14,Winter,23,1,2,0,0,55,0,1,26
2011-01-15,Winter,0,0,1,0,0,55,0,3,25
2011-01-15,Winter,1,0,2,0,-2,59,6,2,18
2011-01-15,Winter,2,0,2,0,-2,59,6,0,12
2011-01-15,Winter,3,0,2,0,0,59,0,1,7
2011-01-15,Winter,4,0,2,0,0,59,0,0,5
2011-01-15,Winter,5,0,1,0,0,59,0,0,1
2011-01-15,Winter,6,0,1,-1,-4,63,7,1,2
2011-01-15,Winter,7,0,1,-1,-2,63,0,1,9
2011-01-15,Winter,8,0,1,-1,-6,63,8,1,22
2011-01-15,Winter,9,0,1,0,-4,64,8,2,31
2011-01-15,Winter,10,0,1,0,-2,59,11,2,57
2011-01-15,Winter,11,0,1,1,-2,55,15,18,54
2011-01-15,Winter,12,0,1,3,0,48,15,15,74
2011-01-15,Winter,13,0,1,5,1,38,19,21,80
2011-01-15,Winter,14,0,1,6,3,39,19,26,92
2011-01-15,Winter,15,0,2,7,5,36,12,21,108
2011-01-15,Winter,16,0,2,7,5,34,12,33,95
2011-01-15,Winter,17,0,2,7,3,36,19,29,54
2011-01-15,Winter,18,0,2,6,3,45,16,15,69
2011-01-15,Winter,19,0,2,7,3,39,16,14,60
2011-01-15,Winter,20,0,2,7,3,39,16,6,35
2011-01-15,Winter,21,0,2,7,3,39,15,6,51
2011-01-15,Winter,22,0,2,6,5,42,7,0,26
2011-01-15,Winter,23,0,1,6,3,45,19,5,39
2011-01-16,Winter,0,0,1,4,3,56,0,6,33
2011-01-16,Winter,1,0,1,4,1,56,8,4,19
2011-01-16,Winter,2,0,1,4,3,56,6,3,13
2011-01-16,Winter,3,0,1,2,1,69,0,9,6
2011-01-16,Winter,4,0,1,4,1,56,11,0,1
2011-01-16,Winter,5,0,2,4,1,56,11,1,1
2011-01-16,Winter,6,0,2,4,1,56,11,0,1
2011-01-16,Winter,7,0,2,3,-2,56,19,0,3
2011-01-16,Winter,8,0,1,2,-2,55,19,0,18
2011-01-16,Winter,9,0,1,2,-2,51,16,3,29
2011-01-16,Winter,10,0,1,2,-2,51,19,8,71
2011-01-16,Winter,11,0,1,3,0,44,16,23,70
2011-01-16,Winter,12,0,1,3,-2,41,19,29,75
2011-01-16,Winter,13,0,1,4,0,35,19,23,95
2011-01-16,Winter,14,0,1,5,1,36,16,22,69
2011-01-16,Winter,15,0,1,4,0,38,16,35,78
2011-01-16,Winter,16,0,1,3,0,38,15,22,77
2011-01-16,Winter,17,0,1,2,-2,37,16,23,82
2011-01-16,Winter,18,0,1,1,-2,40,11,11,56
2011-01-16,Winter,19,0,1,0,-2,47,8,14,47
2011-01-16,Winter,20,0,1,0,-2,47,11,7,50
2011-01-16,Winter,21,0,1,0,-2,51,11,6,22
2011-01-16,Winter,22,0,2,1,-2,49,8,2,19
2011-01-16,Winter,23,0,2,1,0,40,7,0,18
2011-01-17,Winter,0,0,2,1,-2,47,15,1,16
2011-01-17,Winter,1,0,2,1,-2,44,12,1,15
2011-01-17,Winter,2,0,2,0,-4,43,16,0,8
2011-01-17,Winter,3,0,2,0,-4,43,12,0,2
2011-01-17,Winter,4,0,2,0,-2,43,8,1,2
2011-01-17,Winter,5,0,2,0,-2,43,11,0,1
2011-01-17,Winter,6,0,2,0,-4,43,12,0,5
2011-01-17,Winter,7,0,2,0,-4,50,8,4,9
2011-01-17,Winter,8,0,2,0,-6,47,15,3,30
2011-01-17,Winter,9,0,2,0,-6,47,15,8,39
2011-01-17,Winter,10,0,2,0,-6,50,16,7,50
2011-01-17,Winter,11,0,2,0,-6,55,12,9,55
2011-01-17,Winter,12,0,2,0,-2,47,8,10,70
2011-01-17,Winter,13,0,2,0,-2,47,8,13,80
2011-01-17,Winter,14,0,2,0,-2,43,7,12,74
2011-01-17,Winter,15,0,2,1,-2,47,11,21,72
2011-01-17,Winter,16,0,2,1,-2,47,11,6,76
2011-01-17,Winter,17,0,1,1,-2,51,12,4,67
2011-01-17,Winter,18,0,2,0,-4,55,16,7,85
2011-01-17,Winter,19,0,3,0,-4,59,12,2,58
2011-01-17,Winter,20,0,3,0,-6,80,12,4,29
2011-01-17,Winter,21,0,3,0,-6,80,12,3,24
2011-01-17,Winter,22,0,3,-1,-8,93,16,0,13
2011-01-17,Winter,23,0,3,0,-6,86,19,1,3
2011-01-18,Winter,12,1,2,1,-4,86,22,0,3
2011-01-18,Winter,13,1,2,1,-2,86,15,0,22
2011-01-18,Winter,14,1,2,2,0,80,11,2,26
2011-01-18,Winter,15,1,2,2,0,87,11,3,32
2011-01-18,Winter,16,1,2,2,0,87,12,0,61
2011-01-18,Winter,17,1,2,2,0,82,12,1,124
2011-01-18,Winter,18,1,2,2,0,80,11,1,132
2011-01-18,Winter,19,1,2,2,0,80,8,1,98
2011-01-18,Winter,20,1,2,2,1,87,0,0,83
2011-01-18,Winter,21,1,2,2,0,93,7,0,41
2011-01-18,Winter,22,1,2,2,1,93,6,0,33
2011-01-18,Winter,23,1,2,2,1,93,0,1,19
2011-01-19,Winter,0,1,2,2,1,93,0,0,3
2011-01-19,Winter,1,1,3,2,0,93,8,1,6
2011-01-19,Winter,2,1,3,2,0,93,8,0,3
2011-01-19,Winter,4,1,3,2,0,93,8,1,1
2011-01-19,Winter,5,1,2,2,1,93,6,0,7
2011-01-19,Winter,6,1,2,2,1,93,6,0,32
2011-01-19,Winter,7,1,2,3,1,92,7,1,89
2011-01-19,Winter,8,1,2,3,1,93,7,1,196
2011-01-19,Winter,9,1,2,3,1,93,7,2,107
2011-01-19,Winter,10,1,2,4,1,93,8,1,46
2011-01-19,Winter,11,1,2,5,3,87,6,5,47
2011-01-19,Winter,12,1,2,6,5,81,6,5,65
2011-01-19,Winter,13,1,1,10,11,62,19,11,67
2011-01-19,Winter,14,1,1,10,11,57,16,7,68
2011-01-19,Winter,15,1,1,10,11,54,19,4,78
2011-01-19,Winter,16,1,1,9,9,57,26,10,94
2011-01-19,Winter,17,1,1,8,5,56,22,7,190
2011-01-19,Winter,18,1,1,7,5,61,19,5,156
2011-01-19,Winter,19,1,1,7,3,56,27,4,108
2011-01-19,Winter,20,1,1,7,3,49,19,2,74
2011-01-19,Winter,21,1,1,7,3,49,27,4,55
2011-01-19,Winter,22,1,1,6,3,52,11,6,53
2011-01-19,Winter,23,1,1,6,1,52,31,1,27
2011-01-20,Winter,0,1,1,4,0,56,26,5,8
2011-01-20,Winter,1,1,1,4,1,56,0,2,3
2011-01-20,Winter,2,1,1,4,1,56,0,0,2
2011-01-20,Winter,3,1,1,4,1,56,11,0,1
2011-01-20,Winter,4,1,1,4,1,56,11,0,1
2011-01-20,Winter,5,1,1,3,0,60,15,0,6
2011-01-20,Winter,6,1,1,2,-2,60,15,0,35
2011-01-20,Winter,7,1,1,2,-2,55,15,1,100
2011-01-20,Winter,8,1,1,2,-2,55,19,2,247
2011-01-20,Winter,9,1,2,3,0,52,15,3,140
2011-01-20,Winter,10,1,1,4,0,48,19,1,56
2011-01-20,Winter,11,1,2,5,1,45,11,5,63
2011-01-20,Winter,12,1,2,6,5,42,0,7,77
2011-01-20,Winter,13,1,2,5,3,45,7,12,86
2011-01-20,Winter,14,1,2,6,3,45,8,6,75
2011-01-20,Winter,15,1,2,7,5,45,12,8,62
2011-01-20,Winter,16,1,2,6,3,49,8,8,83
2011-01-20,Winter,17,1,2,6,5,49,7,8,207
2011-01-20,Winter,18,1,2,4,1,56,12,1,184
2011-01-20,Winter,19,1,1,4,0,56,22,6,146
2011-01-20,Winter,20,1,2,4,0,60,19,2,124
2011-01-20,Winter,21,1,2,3,0,60,16,3,54
2011-01-20,Winter,22,1,2,3,-2,65,19,0,56
2011-01-20,Winter,23,1,2,3,-2,65,22,3,28
2011-01-21,Winter,0,1,2,3,0,70,16,1,20
2011-01-21,Winter,1,1,2,3,0,70,16,0,6
2011-01-21,Winter,2,1,3,3,0,75,11,0,2
2011-01-21,Winter,3,1,3,2,-2,80,19,0,1
2011-01-21,Winter,4,1,2,2,1,87,6,0,1
2011-01-21,Winter,5,1,1,3,-2,60,27,1,4
2011-01-21,Winter,6,1,1,2,-2,55,16,0,27
2011-01-21,Winter,7,1,1,1,-4,51,19,2,66
2011-01-21,Winter,8,1,1,1,-4,47,22,7,210
2011-01-21,Winter,9,1,1,1,-4,51,23,7,159
2011-01-21,Winter,10,1,1,1,-4,47,31,6,57
2011-01-21,Winter,11,1,1,2,-4,41,31,6,53
2011-01-21,Winter,12,1,1,2,-4,27,39,11,67
